puan,id,Sehir Tag,Universite Tag,Bolum,ikinci okul,lise bolum,Universite Turu,Sinif,Not Ortalamasi,lise tur,anne egitim,baba egitim,kulup,stk proje,girisim,ingilizce,cinsiyet,anne calisma,baba calisma,yas,Basvuru Yili,Kardes Sayisi
44,72,119,43,99,0,474,1,4,1,1,1,1,1,0,0,0,0,2,1,22.0,2014,1
50,73,81,196,70,0,513,1,3,2,1,3,3,1,1,0,0,0,1,1,21.0,2014,2
51,74,119,148,6,0,474,1,3,1,1,1,3,1,1,1,0,0,1,2,,2014,1
44,75,27,265,14,0,474,1,3,1,1,1,1,0,1,0,0,0,2,2,21.0,2014,1
42,76,81,51,3,0,325,1,3,1,1,3,5,1,1,0,0,1,1,2,20.0,2014,1
22,77,81,287,23,0,173,1,1,0,1,1,1,0,0,0,0,0,2,2,19.0,2014,1
52,78,81,43,6,0,173,1,2,1,1,1,1,1,0,0,0,0,2,3,20.0,2014,1
29,79,119,287,32,0,503,1,2,2,1,3,3,1,0,0,0,1,1,3,24.0,2014,2
32,80,84,169,14,0,212,1,2,1,1,3,3,0,1,1,0,1,1,1,22.0,2014,1
26,81,66,113,32,1,474,1,4,1,1,3,3,0,0,0,0,0,3,1,25.0,2014,1
30,82,81,143,4,0,404,1,2,1,4,4,3,0,0,0,0,0,3,2,19.0,2014,2
65,83,81,38,3,0,342,1,4,1,1,3,3,1,1,1,0,0,2,2,22.0,2014,1
44,84,32,120,13,0,439,1,2,2,1,1,3,0,1,0,0,0,3,1,20.0,2014,4
56,85,119,126,33,0,173,1,3,1,1,5,4,1,1,0,0,0,3,4,21.0,2014,1
33,86,115,294,1,0,342,1,2,1,1,3,0,0,0,0,0,0,1,4,20.0,2014,1
61,87,81,282,13,0,474,1,2,1,1,2,2,1,1,1,0,0,2,2,20.0,2014,1
62,88,84,169,3,0,325,1,3,1,1,2,1,1,1,0,0,0,2,1,21.0,2014,1
49,89,16,51,3,0,231,1,3,2,1,1,1,1,1,1,0,1,1,1,21.0,2014,3
48,90,81,51,1,0,212,1,3,1,1,4,5,1,0,0,0,0,3,3,,2014,4
49,91,81,148,4,0,421,1,3,2,1,3,1,1,1,0,0,1,1,2,22.0,2014,2
18,92,81,75,76,0,474,1,1,0,1,3,2,0,0,1,0,1,2,2,19.0,2014,1
30,93,81,43,40,0,404,1,4,2,1,1,2,0,1,1,0,1,2,2,22.0,2014,0
24,94,119,288,52,0,513,1,3,2,1,5,5,0,0,0,0,0,3,2,22.0,2014,2
48,95,81,287,62,0,332,1,3,1,1,5,1,1,0,0,0,0,3,2,,2014,2
70,96,14,126,38,0,404,1,2,3,1,3,0,0,0,0,0,1,3,4,23.0,2014,1
24,97,81,136,86,1,173,1,4,2,1,4,3,1,0,0,0,1,3,2,25.0,2014,3
16,98,95,234,14,0,325,1,1,1,1,3,5,0,0,0,0,1,3,3,20.0,2014,1
42,99,41,48,98,0,236,1,4,3,1,3,1,1,1,0,0,1,3,1,24.0,2014,2
18,100,81,215,33,0,474,1,1,0,4,3,1,1,0,0,0,1,3,2,19.0,2014,3
18,101,81,160,4,0,404,1,2,2,1,5,4,0,0,0,0,1,3,1,,2014,3
22,102,112,169,32,0,513,1,-1,0,1,3,5,0,0,0,0,1,2,3,,2014,1
22,103,119,169,32,0,513,1,-1,0,1,3,5,0,0,0,0,1,2,3,,2014,1
22,104,81,136,46,0,173,1,3,3,1,3,3,0,0,0,0,0,3,2,20.0,2014,1
38,105,81,288,3,0,565,1,3,1,1,5,4,0,0,0,0,0,3,2,,2014,2
52,106,119,275,6,0,474,1,3,2,1,5,5,1,1,0,0,0,3,2,22.0,2014,4
56,107,81,126,8,0,173,1,4,1,1,3,0,0,0,0,0,0,3,4,24.0,2014,1
43,108,41,138,70,0,173,1,-1,0,1,4,0,0,0,0,0,0,2,4,19.0,2014,1
23,109,84,287,28,0,449,1,-1,0,1,3,1,0,0,1,0,0,3,3,,2014,2
38,110,81,235,46,0,499,1,3,2,1,6,6,1,0,0,0,0,3,1,22.0,2014,3
38,111,131,74,13,0,173,1,2,1,1,3,3,1,0,1,0,0,3,1,21.0,2014,1
44,112,67,247,3,0,404,1,1,0,3,1,1,1,1,0,0,0,2,2,,2014,3
28,113,119,175,77,0,253,1,2,1,2,3,1,0,0,0,0,0,3,2,,2014,1
61,114,81,75,13,0,173,1,2,1,1,1,1,1,1,0,0,0,3,2,20.0,2014,1
34,115,81,178,19,0,199,1,1,0,1,1,1,0,0,0,0,0,2,2,,2014,1
33,116,119,51,6,0,499,1,3,1,1,5,3,0,0,0,0,0,3,2,20.0,2014,2
46,117,81,265,3,0,173,1,3,1,1,5,5,1,1,0,0,0,3,2,21.0,2014,1
31,118,81,51,3,0,199,1,3,1,1,5,3,0,0,0,0,0,2,2,22.0,2014,1
64,119,119,126,40,0,199,1,4,1,3,5,1,1,1,1,0,0,3,2,22.0,2014,1
52,120,81,287,32,0,487,1,4,1,1,3,3,1,0,0,0,0,3,2,23.0,2014,3
52,121,81,75,99,0,474,1,1,1,1,6,4,1,1,0,0,0,3,2,20.0,2014,3
28,122,81,140,99,0,173,1,1,0,1,5,0,0,0,0,0,0,3,4,,2014,1
50,123,16,277,3,0,482,1,1,1,3,1,1,1,1,1,0,0,2,1,21.0,2014,2
38,124,81,208,13,0,173,1,3,2,1,6,5,0,1,0,0,0,3,3,,2014,0
34,125,81,144,46,0,455,1,2,2,1,4,3,0,1,0,0,1,3,2,27.0,2014,2
20,126,81,288,62,0,404,1,3,1,1,6,0,0,0,0,0,1,3,4,,2014,1
40,127,81,178,3,0,404,1,4,2,1,1,1,1,1,0,0,1,2,2,22.0,2014,1
24,128,84,126,1,0,404,1,3,1,3,3,1,0,0,0,0,1,3,1,21.0,2014,2
38,129,14,265,3,0,474,1,3,1,4,3,1,0,1,0,0,0,2,1,,2014,0
32,130,81,235,23,0,173,1,1,0,1,3,1,0,1,0,0,0,3,1,,2014,3
26,131,81,100,6,0,513,1,2,1,4,5,5,0,0,0,0,1,3,2,,2014,3
8,132,81,146,99,0,513,1,1,0,1,5,4,0,0,0,0,1,3,2,19.0,2014,3
61,133,81,196,3,0,342,1,2,3,3,2,0,0,0,0,0,0,1,4,20.0,2014,1
28,134,81,284,3,0,499,1,2,1,1,6,6,1,0,0,0,1,3,2,22.0,2014,5
24,135,53,48,29,0,404,1,3,1,1,5,4,0,0,0,0,0,3,2,,2014,4
59,136,14,126,6,0,173,1,3,2,1,3,3,1,1,1,0,0,3,1,23.0,2014,1
46,137,119,286,32,1,259,1,3,1,2,1,4,1,1,1,0,0,2,1,21.0,2014,0
43,138,119,75,2,0,342,1,3,1,1,1,0,0,0,0,0,0,1,4,21.0,2014,1
29,139,81,265,1,0,342,1,3,2,1,3,3,0,0,0,0,0,3,1,21.0,2014,3
24,140,84,113,16,0,404,1,2,2,1,5,1,0,0,0,0,0,3,2,21.0,2014,1
34,141,81,100,70,0,173,1,4,2,1,5,5,0,1,0,0,1,3,1,22.0,2014,2
51,142,81,196,70,0,1,1,3,1,1,4,5,1,1,0,0,1,3,1,22.0,2014,2
22,143,119,100,8,0,449,1,3,3,1,4,3,0,0,1,0,0,3,2,21.0,2014,2
26,144,99,43,79,0,67,1,3,3,2,4,3,1,0,0,0,1,3,2,21.0,2014,1
57,145,14,126,4,0,342,1,3,3,4,1,0,0,0,0,0,1,1,4,21.0,2014,1
28,146,81,136,3,0,449,1,2,1,1,3,3,0,1,0,0,1,3,2,19.0,2014,1
28,147,14,265,3,0,542,1,3,3,1,3,1,0,0,0,0,0,3,2,25.0,2014,1
63,148,81,235,16,0,404,1,1,0,1,3,3,1,1,1,0,0,2,2,19.0,2014,1
36,149,119,287,3,0,474,1,4,1,1,3,3,1,1,1,0,1,3,2,,2014,2
53,150,81,51,13,0,173,1,4,1,1,3,1,0,1,0,0,0,1,1,21.0,2014,0
37,151,16,111,13,0,474,1,2,3,1,1,1,0,1,1,0,0,1,1,21.0,2014,1
54,152,81,110,2,0,404,1,2,3,3,3,3,1,1,1,0,0,2,2,20.0,2014,4
34,153,84,143,16,0,212,1,2,2,1,3,5,0,1,1,0,0,3,1,23.0,2014,2
50,154,81,287,16,0,231,1,4,2,1,2,2,1,1,1,0,0,3,2,22.0,2014,1
14,155,81,139,13,0,404,1,4,2,1,5,4,0,0,0,0,1,3,1,,2014,2
41,156,81,287,3,0,474,1,4,1,1,3,1,1,0,0,0,0,3,2,22.0,2014,1
49,157,119,117,3,0,173,1,3,2,1,5,5,1,1,0,0,0,3,2,21.0,2014,2
44,158,102,247,3,0,404,1,1,0,3,5,1,1,1,0,0,1,3,2,19.0,2014,2
50,159,16,75,3,0,223,1,1,0,1,5,3,1,1,0,0,0,3,1,19.0,2014,1
44,160,14,272,4,0,212,1,3,2,1,5,0,0,0,0,0,0,3,4,21.0,2014,1
22,161,119,275,13,0,499,1,2,3,1,1,3,0,0,0,0,0,2,2,23.0,2014,1
22,162,84,286,81,0,271,1,3,3,1,2,2,0,0,1,0,0,2,2,,2014,1
58,163,84,286,6,0,404,1,1,2,3,1,0,0,0,0,0,0,1,4,19.0,2014,1
46,164,81,51,19,0,474,1,4,1,1,4,1,0,1,0,0,0,1,1,23.0,2014,2
33,165,81,138,70,0,342,1,1,0,1,3,6,1,0,0,0,0,3,4,19.0,2014,1
53,166,81,126,33,0,513,1,4,1,1,3,3,1,1,0,0,0,2,1,22.0,2014,1
50,167,81,208,99,0,173,1,3,1,1,4,4,1,0,1,0,0,3,2,20.0,2014,2
43,168,81,126,3,0,212,1,3,1,1,3,1,1,0,0,0,0,3,2,21.0,2014,1
48,169,81,265,3,0,404,1,3,2,1,3,6,1,1,0,0,0,2,1,23.0,2014,1
23,170,119,178,52,0,474,1,1,0,1,1,1,0,0,0,0,0,1,2,19.0,2014,1
71,171,119,287,99,0,173,1,3,1,1,5,1,1,1,1,0,0,3,2,21.0,2014,3
42,172,20,235,99,0,474,1,-1,0,1,5,5,1,0,0,0,0,1,1,19.0,2014,2
52,173,112,255,9,0,404,1,3,1,1,3,1,1,1,1,0,0,2,3,21.0,2014,0
48,174,117,286,40,0,404,1,1,0,1,4,5,1,1,1,0,0,3,2,44.0,2014,4
26,175,119,265,33,0,474,1,2,1,1,6,5,0,0,0,0,1,3,3,21.0,2014,1
63,176,81,287,96,0,199,1,4,2,3,1,1,1,1,1,0,1,2,2,22.0,2014,1
26,177,16,130,25,0,404,1,1,3,1,3,3,1,0,0,0,1,2,2,19.0,2014,0
8,178,81,241,3,0,513,1,1,0,1,1,3,0,0,0,0,1,2,2,21.0,2014,1
30,179,84,169,3,0,474,1,2,1,1,4,3,1,0,0,0,1,3,2,20.0,2014,1
24,180,81,160,76,0,474,1,3,2,1,1,0,0,0,0,0,1,1,4,20.0,2014,1
46,181,81,126,12,0,474,1,3,1,1,3,2,1,1,0,0,0,1,2,22.0,2014,1
36,182,119,169,3,0,342,1,2,1,3,1,6,1,0,0,0,0,1,4,,2014,0
51,183,81,130,3,0,493,1,3,1,1,3,0,0,0,0,0,0,3,4,,2014,1
40,184,84,111,99,0,474,1,4,1,1,5,4,1,0,0,0,0,3,2,20.0,2014,2
43,185,151,160,13,0,404,1,2,1,1,5,3,1,1,0,0,0,3,2,21.0,2014,2
36,186,58,286,6,0,173,1,3,2,1,3,3,0,0,0,0,0,3,2,,2014,1
98,187,14,126,1,0,223,1,2,1,3,1,3,1,1,0,0,0,2,1,20.0,2014,1
36,188,115,268,54,0,240,1,1,1,2,4,3,0,1,0,0,1,2,2,19.0,2014,1
42,189,119,196,3,0,387,1,3,1,4,4,3,1,1,1,0,1,3,1,,2014,3
28,190,119,136,6,0,173,1,1,0,1,3,1,0,1,1,0,1,3,2,19.0,2014,1
12,191,14,126,2,0,404,1,4,3,3,5,5,0,0,0,0,1,3,1,23.0,2014,2
26,192,81,272,14,0,173,1,2,2,1,4,4,0,1,1,0,1,3,3,20.0,2014,3
24,193,81,196,6,0,173,1,1,0,1,5,3,1,0,0,0,1,3,2,20.0,2014,1
18,194,119,138,3,0,212,1,4,1,1,5,3,0,0,0,0,1,2,2,,2014,3
20,195,81,98,6,0,474,1,2,2,1,5,5,0,0,0,0,1,3,3,21.0,2014,5
58,196,81,241,4,0,342,1,3,1,1,3,1,1,1,0,0,1,3,1,,2014,2
23,197,81,156,4,0,404,1,2,1,1,5,0,0,0,0,0,1,3,4,,2014,1
28,198,119,294,84,0,404,1,1,0,4,3,4,0,1,1,0,1,3,1,20.0,2014,4
50,199,81,196,3,0,499,1,2,2,4,3,1,1,1,1,0,1,1,1,,2014,1
42,200,81,243,87,0,212,1,1,1,1,5,1,1,1,1,0,1,3,2,,2014,3
48,201,119,138,3,0,173,1,1,0,1,3,5,1,1,0,0,1,3,2,44.0,2014,1
31,202,14,38,45,0,404,1,4,1,1,3,1,0,0,0,0,0,3,2,22.0,2014,1
16,203,81,75,38,1,404,1,-2,3,1,5,5,0,0,0,0,1,3,1,23.0,2014,3
21,204,81,136,4,0,212,1,2,2,1,6,5,0,0,0,0,1,3,2,,2014,4
26,205,81,148,6,0,513,1,4,3,1,1,0,0,0,0,0,1,3,4,22.0,2014,1
58,206,81,277,70,0,428,1,2,1,1,4,3,1,1,1,0,1,3,2,20.0,2014,2
34,207,14,126,33,0,474,1,1,1,4,3,2,0,0,0,0,0,3,1,,2014,3
29,208,14,38,10,0,342,1,2,2,1,3,4,0,0,0,0,0,1,1,22.0,2014,3
52,209,95,215,10,0,404,1,2,3,1,3,1,1,1,1,0,0,3,2,21.0,2014,2
22,210,81,134,99,0,513,1,4,0,1,1,3,0,0,0,0,0,2,2,22.0,2014,1
22,211,16,284,17,0,212,1,2,3,1,5,5,0,0,0,0,0,3,1,21.0,2014,1
66,212,63,83,35,0,102,1,3,1,2,1,3,1,1,1,0,0,2,2,21.0,2014,1
42,213,81,265,3,0,173,1,1,3,1,5,3,1,0,0,0,0,3,1,,2014,1
23,214,81,51,16,0,212,1,1,0,1,5,5,0,0,0,0,0,3,1,,2014,5
71,215,119,208,3,0,404,1,3,1,1,5,0,0,0,0,0,0,3,4,20.0,2014,1
54,216,81,265,3,0,404,1,2,1,3,5,1,1,1,0,0,0,2,2,20.0,2014,3
43,217,81,196,3,0,236,1,3,0,4,1,1,1,1,0,0,0,1,2,21.0,2014,1
31,218,119,130,3,0,404,1,2,1,1,5,5,1,0,0,0,1,3,2,20.0,2014,1
27,219,81,51,76,0,404,1,2,3,1,5,1,1,0,0,0,1,3,2,,2014,2
44,220,81,287,51,0,212,1,3,1,1,3,3,0,1,1,0,0,3,1,23.0,2014,1
58,221,81,126,1,0,404,1,3,2,4,1,1,1,1,0,0,0,2,2,21.0,2014,1
36,222,119,235,25,0,212,1,4,1,1,1,1,1,0,1,0,1,1,2,24.0,2014,2
18,223,41,294,8,0,173,1,-2,1,1,6,5,0,0,0,0,1,3,1,22.0,2014,8
22,224,81,276,3,0,276,0,2,3,2,5,5,0,0,0,0,1,3,3,20.0,2014,1
34,225,119,83,19,0,67,1,3,2,2,3,4,1,1,0,0,1,2,2,20.0,2014,3
51,226,14,43,6,0,375,1,4,1,3,1,0,0,0,0,0,1,3,4,22.0,2014,1
42,227,81,138,99,0,120,1,3,3,1,3,3,1,1,1,0,1,3,1,24.0,2014,1
28,228,81,100,41,0,269,1,2,1,0,5,0,0,0,0,0,0,3,4,,2014,1
28,229,81,134,3,0,474,1,3,2,1,5,3,0,0,0,0,0,3,2,23.0,2014,3
28,230,81,143,3,0,55,1,-1,0,2,5,5,0,1,0,0,1,3,2,21.0,2014,2
50,231,119,233,46,0,173,1,2,1,1,6,6,1,1,0,0,1,3,2,,2014,6
16,232,119,156,4,0,320,1,2,1,1,6,4,0,0,0,0,1,3,3,22.0,2014,2
20,233,41,68,7,0,404,1,1,0,1,5,5,0,1,0,0,1,3,2,20.0,2014,6
33,234,81,136,1,0,404,1,4,1,1,3,1,0,0,0,0,0,3,1,22.0,2014,3
43,235,49,117,36,0,212,1,-2,1,1,3,3,0,1,0,0,0,1,1,22.0,2014,3
30,236,81,136,3,0,499,1,3,1,1,6,5,1,0,0,0,1,3,3,20.0,2014,2
21,237,28,112,58,0,173,0,2,2,1,6,6,0,0,0,0,1,3,3,20.0,2014,11
52,238,81,178,1,0,322,1,3,1,1,5,1,1,1,0,0,0,2,1,,2014,1
10,239,81,84,80,0,404,1,-1,0,0,5,5,0,0,0,0,1,3,1,19.0,2014,2
44,240,62,294,4,0,404,1,4,1,1,5,5,1,1,0,0,1,3,1,22.0,2014,2
34,241,81,126,3,0,404,1,2,2,1,5,3,1,1,1,0,1,3,2,21.0,2014,2
39,242,14,38,83,0,499,1,4,2,1,3,1,0,1,0,0,0,3,2,23.0,2014,1
68,243,81,241,1,0,325,1,3,1,1,3,3,1,1,1,0,0,3,1,22.0,2014,3
24,244,81,52,3,0,530,1,2,2,2,4,4,0,0,0,0,0,2,3,,2014,2
54,245,81,136,1,0,404,1,3,2,1,4,3,1,1,0,0,0,3,1,21.0,2014,2
61,246,81,273,40,0,404,1,2,2,1,3,1,0,0,0,0,0,3,1,21.0,2014,1
30,247,119,287,95,0,404,1,2,2,1,5,3,0,0,0,0,0,2,1,20.0,2014,0
30,248,119,235,16,0,212,1,2,1,1,5,3,0,0,0,0,0,3,1,21.0,2014,2
28,249,81,235,13,0,12,1,1,0,1,5,1,0,0,0,0,0,1,1,19.0,2014,2
62,250,84,175,3,0,474,1,4,1,1,3,1,1,1,0,0,0,3,2,23.0,2014,2
46,251,81,265,4,0,404,1,4,3,4,2,2,1,1,0,0,0,2,2,22.0,2014,1
22,252,119,138,3,0,493,1,4,1,1,5,3,0,0,0,0,1,1,1,,2014,1
44,253,84,169,99,0,173,1,4,1,1,3,3,0,1,0,0,0,1,1,,2014,0
14,254,99,43,1,0,199,1,4,3,1,1,1,0,0,1,0,1,3,2,22.0,2014,1
27,255,81,100,70,0,173,1,4,1,1,4,1,0,0,0,0,1,3,2,23.0,2014,4
32,256,119,235,3,0,173,1,3,2,1,5,5,1,0,1,0,1,1,1,21.0,2014,3
24,257,81,279,16,0,404,1,2,3,1,5,1,0,1,1,0,1,3,2,22.0,2014,2
36,258,119,241,14,0,120,1,3,3,1,6,5,1,1,0,0,1,2,3,24.0,2014,1
51,259,20,169,3,0,199,1,3,1,1,3,1,1,1,1,0,0,3,1,21.0,2014,2
34,260,81,48,60,0,474,1,4,3,1,1,1,1,0,0,0,0,1,1,23.0,2014,2
44,261,81,235,99,0,474,1,2,2,4,3,1,1,1,0,0,0,1,1,21.0,2014,1
85,262,14,265,4,0,342,1,4,3,4,1,2,1,1,0,0,0,3,2,21.0,2014,1
54,263,84,169,99,0,513,1,4,1,1,5,1,1,1,0,0,0,3,1,22.0,2014,2
42,264,119,175,12,0,173,1,4,1,1,4,3,1,0,0,0,0,1,2,22.0,2014,0
59,265,81,241,13,0,351,1,2,2,1,3,0,0,0,0,0,0,2,4,22.0,2014,1
45,266,81,287,46,0,474,1,3,2,1,3,3,0,0,0,0,0,3,1,22.0,2014,2
36,267,81,68,3,0,474,1,2,3,1,4,3,1,0,1,0,0,3,2,,2014,3
26,268,81,130,3,0,173,1,2,3,1,5,5,0,0,0,0,0,2,2,,2014,2
43,269,102,287,16,0,342,1,1,0,1,3,5,1,0,0,0,0,3,1,,2014,1
67,270,81,150,61,0,212,1,4,1,1,1,1,1,1,0,0,0,2,2,22.0,2014,1
56,271,115,268,3,0,212,1,2,1,1,4,3,1,1,0,0,0,3,1,,2014,3
62,272,81,138,3,0,449,1,4,1,1,3,3,1,1,0,0,0,1,1,22.0,2014,2
47,273,81,287,46,0,513,1,1,3,1,1,1,1,1,0,0,0,2,2,20.0,2014,1
78,274,81,126,38,0,313,1,3,1,1,1,2,1,1,1,0,0,2,2,21.0,2014,2
47,275,81,178,3,0,404,1,4,1,1,3,1,1,0,0,0,0,1,1,23.0,2014,1
28,276,95,215,14,0,173,1,1,1,1,5,3,0,0,0,0,0,3,2,20.0,2014,3
54,277,81,136,16,0,404,1,4,3,3,5,3,1,1,0,0,0,3,1,,2014,1
34,278,81,138,3,0,499,1,4,2,1,1,0,0,0,0,0,1,2,4,23.0,2014,1
22,279,119,133,0,1,198,1,3,3,0,3,0,0,0,0,0,1,3,4,24.0,2014,1
22,280,63,83,55,0,474,1,3,3,1,4,5,0,0,0,0,0,2,2,,2014,2
19,281,81,265,4,0,325,1,3,2,1,5,1,0,0,1,0,1,3,1,21.0,2014,2
32,282,81,126,4,0,199,1,4,1,1,5,3,1,0,0,0,1,3,1,22.0,2014,3
