Bölüm,Label
ARAP DILI VE EDEBIY,150
ARAP DILI VE EDEBIYAT,151
ARAP DILI VE EDEBIYATI,152
ARAP DILI VE EDEBIYATI(IKINCI OGRETIM),153
ARAPCA MUTERCIM TERCUMANLIK,154
ARAPCA MUTERCIM VE TERCUMANLIK,155
ARAPCA OGRETMENLIGI,156
ARAPCA TARIH,157
ARAPCMUTERCIM-TERCUMAN,158
ARKEOLIJI,159
ARKEOLOJI,160
ARKEOLOJI BOLUMU,161
ARKEOLOJI PR,162
ARKEOLOJI VE SANAT TARIHI,163
ARKEOLOJI VE SANAT TARIHI(INGILIZCE)(TAM BURSLU),164
ARKEOLOJI(IKINCI OGRETIM),165
ARKEOLOJI/PREHISTORYA,166
ARP,167
ASCILIK,168
ASDASDASDA,169
ASTRONOMI VE ASTROFIZIK,170
ASTRONOMI VE UZAY BILIMLERI,171
ASTRONOMI VE UZAY BILIMLERI BOLUMU,172
ASTRONOMI VE UZAY BILIMLERI(IKINCI OGRETIM),173
ATA AOF- ADALET,174
ATATURK EGITIM FAKULTESI INGILIZCE OGRETMENLIGI,175
ATCILIK VE ANTRENORLUK,176
ATCILIK VE AT ANTRENO,177
ATIK YONETIMI,178
AVCILIK VE YABAN HAYATI,179
AVRUPA BIRLIGI IKTISADI,180
AVRUPA BIRLIGI ILISKILERI,181
AVRUPA BIRLIGI ILISKILERI(INGILIZCE),182
AVRUPA BIRLIGI ILISKILERI(INGILIZCE)(%50 BURSLU),183
AVRUPA BIRLIGI ILISKILERI(INGILIZCE)(TAM BURSLU),184
AVRUPA BIRLIGI ILISKILERI+HUKUK,185
AVRUPA BIRLIGI ILISKILERI/HUKUK CIFT ANADAL PROGRAMI,186
AVRUPA BIRLIGI SIYASETI VE ULUSLARARASI ILISKILER,187
AYAKKABI TASARIMI VE URETIMI,188
B,189
BAHCE BITKILERI,190
BAHCE BITKILERI URETIMI VE PAZARLAMASI,191
BAHCE TARIM,192
BAHCE TARIMI,193
BALIKCILIK TEKNOLOJISI (YUKSEKOKUL),194
BALIKESI UNIVERSITESI-ISLETME BOLUMU,195
BAN,196
BANA CIKARACAGINIZA INANIYORUM BUNA VAR,197
BANKA FINANS,198
BANKA SIGORTACILIK,199
BANKA VE FINANS,200
BANKA VE SIGORTA,201
BANKA VE SIGORTACILIK,202
BANKACI VE SIGORTA,203
BANKACILI,204
BANKACILIK,205
BANKACILIK (FAKULTE),206
BANKACILIK (YUKSEKOKUL),207
BANKACILIK (YUKSEKOKUL)(IKINCI OGRETIM),208
BANKACILIK FINANS,209
BANKACILIK PR,210
BANKACILIK SIGORTACILIK,211
BANKACILIK VE,212
BANKACILIK VE FINANAS,213
BANKACILIK VE FINANS,214
BANKACILIK VE FINANS (FAKULTE),215
BANKACILIK VE FINANS (FAKULTE)(%50 BURSLU),216
BANKACILIK VE FINANS (FAKULTE)(INGILIZCE),217
BANKACILIK VE FINANS (FAKULTE)(INGILIZCE)(%50 BURSLU),218
BANKACILIK VE FINANS (FAKULTE)(INGILIZCE)(TAM BURSLU),219
BANKACILIK VE FINANS (FAKULTE)(TAM BURSLU),220
BANKACILIK VE FINANS (YUKSEKOKUL),221
BANKACILIK VE FINANS (YUKSEKOKUL)(IKINCI OGRETIM),222
BANKACILIK VE FINANS (YUKSEKOKUL)(TAM BURSLU),223
BANKACILIK VE FINANS INGILIZCE,224
BANKACILIK VE FINANSMAN (YUKSEKOKUL),225
BANKACILIK VE SIGO,226
BANKACILIK VE SIGORTA,227
BANKACILIK VE SIGORTACILIK,228
BANKACILIK VE SIGORTACILIK (YUKSEKOKUL),229
BANKACILIK VE SIGORTACILIK (YUKSEKOKUL)(%50 BURSLU),230
BANKACILIK VE SIGORTACILIK (YUKSEKOKUL)(TAM BURSLU),231
BANKACILIK VE SIGORTACILIK BOLUMU,232
BANKACILIK VE SIGOTACILIK,233
BANKACILIK/FINANS,234
BANKALIK VE FINANS,235
BASIM TEKNOLOJILE,236
BASIM TEKNOLOJILERI,237
BASIM VE YAYIM TEKNOLOJILERI,238
BASIM VE YAYIN TEKNOLOJILERI,239
BASIM VE YAYIN TEKNOLOJISI,240
BASIN VE YAYI,241
BASIN VE YAYIN,242
BASIN VE YAYIN(%50 BURSLU),243
BASIN VE YAYIN(TAM BURSLU),244
BASIN YAYIN,245
BASIN-YAYIN,246
BASKI SANATLARI,247
BATI DILLERI VE EDEBIYATI,248
BATI DILLERI VE EDEBIYATLAR,249
BATI DILLERI VE EDEBIYATLARI,250
BE,251
BEALENME VE DIYETETIK,252
BEDE EGITIM VE SPOR YUKSEK OKULU,253
BEDEB EGITIMI VE SPOR YUKSEKOKULUREKREASYON,254
BEDEM EGIT,255
BEDEN E,256
BEDEN EGIITIMI OGRETMENLIGI,257
BEDEN EGITIM VE SPOR OGRETMENLIGI,258
BEDEN EGITIMI,259
BEDEN EGITIMI OGRETMENI,260
BEDEN EGITIMI OGRETMENI BESYO,261
BEDEN EGITIMI OGRETMENLIGI,262
BEDEN EGITIMI OGRETMENLIGI VE SPOR YUKSEKOKULU,263
BEDEN EGITIMI SPOR FAKULTESI,264
BEDEN EGITIMI SPOR YUKSEK OKULU,265
BEDEN EGITIMI SPOR YUKSEK OKULU SPOR YONETICILIGI,266
BEDEN EGITIMI VE ANRENORLUK EGITIMI,267
BEDEN EGITIMI VE SPOR BILIMLERI,268
BEDEN EGITIMI VE SPOR BILIMLERI FAKULTESI / ANTRENORLUK,269
BEDEN EGITIMI VE SPOR BILIMLERI FAKULTESI REKREASYON BOLUMU,270
BEDEN EGITIMI VE SPOR EGITIMI OGRETMENLIGI,271
BEDEN EGITIMI VE SPOR FAKULTESI,272
BEDEN EGITIMI VE SPOR MESLEK YUKSEKOKULU,273
BEDEN EGITIMI VE SPOR OG,274
BEDEN EGITIMI VE SPOR OGRETMENLI,275
BEDEN EGITIMI VE SPOR OGRETMENLIG,276
BEDEN EGITIMI VE SPOR OGRETMENLIGI,277
BEDEN EGITIMI VE SPOR OGRETMENLIGI(BESYO),278
BEDEN EGITIMI VE SPOR OGRETMENLIGI/C,279
BEDEN EGITIMI VE SPOR OGRETMENLIK,280
BEDEN EGITIMI VE SPOR YONETICILIGI,281
BEDEN EGITIMI VE SPOR YUKSEK O,282
BEDEN EGITIMI VE SPOR YUKSEK OKULU,283
BEDEN EGITIMI VE SPOR YUKSEK OKULU - SPOR YONETICILIGI,284
BEDEN EGITIMI VE SPOR YUKSEK OKULU ANTRENORLUK EGITIMI,285
BEDEN EGITIMI VE SPOR YUKSEK OKULU SPOR YONETICILIGI,286
BEDEN EGITIMI VE SPOR YUKSEK OKULU/ REKREASYON,287
BEDEN EGITIMI VE SPOR YUKSEKOKULU,288
BEDEN EGITIMI VE SPOR YUKSEKOKULU (ANTRENORLUK),289
BEDEN EGITIMI VE SPOR YUKSEKOKULU ANTRENORLUK BOLUMU,290
BEDEN EGITIMI VE SPOR YUKSEKOKULU ANTRENORLUK EGITIMI,291
BEDEN EGITIMI VE SPOR YUKSEKOKULU BEDEN EGITIMI OGRETMENLIGI BOLUMU,292
BEDEN EGITIMI VE SPOR YUKSEKOKULU BESYO,293
BEDEN EGITIMI VE SPOR YUKSEKOKULU SPOR YONETICILIGI,294
"BEDEN EGITIMI VE SPOR YUKSEKOKULU, SPOR YONETICILGI",295
BEDEN EGITIMI VE SPORYUKSEKOKULU,296
BEDEN EGITIMI- OGRETMENLIK,297
BELIRSIZ,298
BELLI DEGIL. TERCIH YAPACAGIM,299
BENDEN EGITIMI VE SPOR BILIMLERI OGRETMENILGI,300
BENDEN EGITIMI VE SPOR OGRETMENLIGI,301
BES,302
BESLEME VE DIYETETIK,303
BESLENME VE,304
BESLENME VE DI,305
BESLENME VE DIYETE,306
BESLENME VE DIYETET,307
BESLENME VE DIYETETI,308
BESLENME VE DIYETETIK,309
BESLENME VE DIYETETIK (%100INGILIZCE),310
BESLENME VE DIYETETIK (FAKULTE),311
BESLENME VE DIYETETIK (FAKULTE)(%25 BURSLU),312
BESLENME VE DIYETETIK (FAKULTE)(%50 BURSLU),313
BESLENME VE DIYETETIK (FAKULTE)(TAM BURSLU),314
BESLENME VE DIYETETIK (INGILIZCE),315
BESLENME VE DIYETETIK (INGILIZCE) - PSIKOLOJI (CAP),316
BESLENME VE DIYETETIK (YUKSEKOKUL),317
BESLENME VE DIYETETIK (YUKSEKOKUL)(%50 BURSLU),318
BESLENME VE DIYETETIK (YUKSEKOKUL)(INGILIZCE)(TAM BURSLU),319
BESLENME VE DIYETETIK (YUKSEKOKUL)(TAM BURSLU),320
BESLENME VE DIYETETIK - GASTRONOMI VE MUTFAK SANATLARI,321
BESLENME VE DIYETETIK -PSIKOLOJI(CIFT ANADAL ),322
BESLENME VE DIYETETIK /DIYETISYENLIK,323
BESLENME VE DIYETETIK BOLUMU,324
BESLENME VE DIYETETIK DE,325
BESLENME VE DIYEYETIK,326
BESYO,327
BESYO -REKREASYON,328
BESYO /ANTRONORLUK EGITIMI,329
BESYO ANTRENORLUK,330
BESYO ANTRENORLUK BOLUMU,331
BESYO SPOR YONETICILIGI,332
BESYO YONETICILIK,333
BESYO- SPOR YONETICILIGI,334
BESYO-OGRETMENLIK,335
BESYO/ANTRENORLUK,336
BESYO/REKREASYON,337
BESYO/SPOR YONETICILIGI,338
BI,339
"BIEMF - BACHELOR OF INTERNATIONAL ECONOMICS, MANAGEMENT AND FINANCE",340
BIGISAYAR MUHENDISLIGI,341
BIGISAYAR MUHENDISLIGI (INGILIZCE),342
BIGISAYAR PROGRAMCILIGI,343
BIL,344
BILESIK SANATLAR,345
BILG. VE OGRT TEKNOLOJILERI OGRETMENI,346
BILGI,347
BILGI BELGE YONETIMI,348
BILGI GUVENLIGI,349
BILGI GUVENLIGI TEKNOLOJISI,350
BILGI VE BELGE YONETIMI,351
BILGI VE BELGE YONETIMI(IKINCI OGRETIM),352
BILGI YONETIMI,353
BILGISARAY PROGRAMLAMA,354
BILGISAYAR,355
BILGISAYAR & ELEKTRIK ELEKTRONIK MUHENDISLIGI,356
BILGISAYAR AGIRLIKLI MATEMATIK,357
BILGISAYAR BILIMI,358
BILGISAYAR BILIMI VE MUHENDISLIGI,359
BILGISAYAR BILIMLER,360
BILGISAYAR BILIMLER ( COMPUTER SCIENCE ),361
BILGISAYAR BILIMLERI,362
BILGISAYAR DESTEKLI ANIMASYON TASARIM,363
BILGISAYAR DESTEKLI GRAFIK TASARIM VE ANIMASYON PROGRAMI,364
BILGISAYAR DESTEKLI TASARIM VE ANIMASYON,365
BILGISAYAR EGITIM VE OGRETIM TEKNOLOJILERI OGRETMENLIGI,366
BILGISAYAR EGITIMI VE EGITIM TEKNOLOJILERI,367
BILGISAYAR EGITIMI VE OGRETIM TEKNOLOJILERI,368
BILGISAYAR M,369
BILGISAYAR MGHEN,370
BILGISAYAR MU,371
BILGISAYAR MUH,372
BILGISAYAR MUH INGILIZCE,373
BILGISAYAR MUH.,374
BILGISAYAR MUH. (%100 ING),375
BILGISAYAR MUHE,376
BILGISAYAR MUHEN,377
BILGISAYAR MUHEND,378
BILGISAYAR MUHENDI,379
BILGISAYAR MUHENDILIGI,380
BILGISAYAR MUHENDILS,381
BILGISAYAR MUHENDIS,382
BILGISAYAR MUHENDISI,383
BILGISAYAR MUHENDISL,384
BILGISAYAR MUHENDISLGIINGILIZCE,385
BILGISAYAR MUHENDISLI,386
BILGISAYAR MUHENDISLIG,387
BILGISAYAR MUHENDISLIGI,388
BILGISAYAR MUHENDISLIGI %100 ING,389
BILGISAYAR MUHENDISLIGI %100 INGILIZCE,390
BILGISAYAR MUHENDISLIGI %50 BURSLU,391
BILGISAYAR MUHENDISLIGI & ENDUSTRI MUHENDISLIGI (CIFT ANADAL),392
BILGISAYAR MUHENDISLIGI ( ALMANCA),393
BILGISAYAR MUHENDISLIGI (%100 INGILIZCE),394
BILGISAYAR MUHENDISLIGI (ING),395
BILGISAYAR MUHENDISLIGI (INGILIZCE),396
BILGISAYAR MUHENDISLIGI (M.T.O.K.),397
BILGISAYAR MUHENDISLIGI (TEKNOLOJI FAKULTESI),398
BILGISAYAR MUHENDISLIGI / COMPUTER ENGINEERING,399
BILGISAYAR MUHENDISLIGI / ENDUSTRI MUHENDISLIGICIFT ANA DAL,400
BILGISAYAR MUHENDISLIGI ANADAL/ ENDUSTRI MUHENDISLIGI IKINCI ANADAL,401
BILGISAYAR MUHENDISLIGI FAKULTESI,402
BILGISAYAR MUHENDISLIGI GEBZE TEKNIK UNIVERSITESI,403
BILGISAYAR MUHENDISLIGI ING,404
BILGISAYAR MUHENDISLIGI INGILIZCE,405
BILGISAYAR MUHENDISLIGI INGILIZCE DESTEKLI,406
BILGISAYAR MUHENDISLIGI IO,407
BILGISAYAR MUHENDISLIGI OKUYORUM AMA 1 AY SONRA ENDUSTRI MUHENDISLIGINE GECIS YAPMAYI PLANLIYORUM,408
BILGISAYAR MUHENDISLIGI PR.,409
BILGISAYAR MUHENDISLIGI TEKNOLOJI FAKULTESI,410
BILGISAYAR MUHENDISLIGI VE EKONOMI (CIFT ANADAL),411
BILGISAYAR MUHENDISLIGI VE ISLETME (CIFT ANA DAL),412
BILGISAYAR MUHENDISLIGI VE KIMYA MUHENDISLIGICAP,413
BILGISAYAR MUHENDISLIGI VE MATEMATIK (CIFT ANADAL),414
BILGISAYAR MUHENDISLIGI VE UCAK MUHENDISLIGI CAP VE YUKSEK LISANS,415
BILGISAYAR MUHENDISLIGI YAZILIM ANABILIM DALI,416
BILGISAYAR MUHENDISLIGI%100 ING,417
BILGISAYAR MUHENDISLIGI%100 INGILIZCE,418
BILGISAYAR MUHENDISLIGI(%25 BURSLU),419
BILGISAYAR MUHENDISLIGI(%50 BURSLU),420
BILGISAYAR MUHENDISLIGI(IKINCI OGRETIM),421
BILGISAYAR MUHENDISLIGI(ING),422
BILGISAYAR MUHENDISLIGI(INGILI),423
BILGISAYAR MUHENDISLIGI(INGILIZCE),424
BILGISAYAR MUHENDISLIGI(INGILIZCE)(%25 BURSLU),425
BILGISAYAR MUHENDISLIGI(INGILIZCE)(%50 BURSLU),426
BILGISAYAR MUHENDISLIGI(INGILIZCE)(IKINCI OGRETIM),427
BILGISAYAR MUHENDISLIGI(INGILIZCE)(TAM BURSLU),428
BILGISAYAR MUHENDISLIGI(TAM BURSLU),429
BILGISAYAR MUHENDISLIGI(TURKCE),430
BILGISAYAR MUHENDISLIGI(TURKCE)(TAM BURSLU),431
BILGISAYAR MUHENDISLIGI(UZAKTAN EGITIM),432
"BILGISAYAR MUHENDISLIGI, ELEKTRIK ELEKTRONIK MUHENDISLIGI YANDAL",433
BILGISAYAR MUHENDISLIGI-ENDUSTRI MUHENDISLIGI,434
BILGISAYAR MUHENDISLIGI/ YANDAL OLARAK YAZILIM MUHENDISLIGI,435
BILGISAYAR MUHENDISLIGIG,436
BILGISAYAR MUHENDISLIGIING,437
BILGISAYAR MUHENDISLIGIINGILICE,438
BILGISAYAR MUHENDISLIGIINGILIZCE,439
BILGISAYAR MUHENDISLIGIM,440
BILGISAYAR MUHENDISLIGIN,441
"BILGISAYAR MUHENDISLIGINI BITIRDIM, CIFTDALIM OLAN ELEKTRIK ELEKTRONIK MUHENDISLIGI OKUYORUM",442
BILGISAYAR MUHENDISLILIGI / ELEKTRIK- ELEKTRONIK MUHENDISLIGICAP,443
BILGISAYAR MUHENDSILIGI,444
BILGISAYAR MUHENG,445
BILGISAYAR MUHENSILIGI,446
BILGISAYAR MUHNEDISLIGI,447
BILGISAYAR MUNHENDISLIG,448
BILGISAYAR OGRETIM TEKNOLOJILERI,449
BILGISAYAR OGRETIM TEKNOLOJILERI EGITIMI,450
BILGISAYAR OGRETIM TEKNOLOJILERI EGITIMI BOTE,451
BILGISAYAR OGRETIM TEKNOLOJILERI OGRETMENLIGI,452
BILGISAYAR OGRETIM VE TEKNOLOJILERI EGITIMI,453
BILGISAYAR OGRETMENLIGI,454
BILGISAYAR OGRETMENLIGI VEVAR TEKNOLOJILERI EGITMENLIGI,455
BILGISAYAR OPERATORLUGU,456
BILGISAYAR P,457
BILGISAYAR PPROGRAMCISI,458
BILGISAYAR PR,459
BILGISAYAR PROGRAMCI,460
BILGISAYAR PROGRAMCIGI,461
BILGISAYAR PROGRAMCILI,462
BILGISAYAR PROGRAMCILIG,463
BILGISAYAR PROGRAMCILIGI,464
BILGISAYAR PROGRAMCILIGI - MYO,465
BILGISAYAR PROGRAMCILIGI -SAGLIK YONETIMI,466
BILGISAYAR PROGRAMCILIGI.,467
BILGISAYAR PROGRAMCILIGIINGILIZCE,468
BILGISAYAR PROGRAMCIO,469
BILGISAYAR PROGRAMCLIGI,470
BILGISAYAR PROGRAMCLIGI TAVSANLI MYO,471
BILGISAYAR PROGRAMICILIGI,472
BILGISAYAR PROGRAMLAMA,473
BILGISAYAR PROGRAMLAMA BOLUMU,474
BILGISAYAR SISTEMLERI OGRETMENLIGI,475
BILGISAYAR SISTEMLERI VE MUHENDI,476
BILGISAYAR TEKNOLOJILERI,477
BILGISAYAR TEKNOLOJILERI BOLUMU,478
BILGISAYAR TEKNOLOJILERI VE BILISIM SISTEMLERI,479
BILGISAYAR TEKNOLOJILERI VE BILISIM SISTEMLERI (CTIS),480
BILGISAYAR TEKNOLOJILERI VE BILISIM SISTEMLERI (YAZILIM),481
BILGISAYAR TEKNOLOJILERI VE BILISIM SISTEMLERI CTIS,482
BILGISAYAR TEKNOLOJILERIBILGISAYAR PROGRAMCILIGI,483
BILGISAYAR TEKNOLOJISI,484
BILGISAYAR TEKNOLOJISI VE BILISIM SISTEMLERI,485
BILGISAYAR TEKNOLOJISI VE BILISIM SISTEMLERI (YUKSEKOKUL),486
BILGISAYAR TEKNOLOJISI VE BILISIM SISTEMLERI (YUKSEKOKUL)(%25 BURSLU),487
BILGISAYAR TEKNOLOJISI VE BILISIM SISTEMLERI (YUKSEKOKUL)(%50 BURSLU),488
BILGISAYAR TEKNOLOJISI VE BILISIM SISTEMLERI (YUKSEKOKUL)(TAM BURSLU),489
BILGISAYAR TEKNOLOJISI VE OGRETMENLIGI,490
BILGISAYAR VE BILISIM MUHENDISLIGI,491
BILGISAYAR VE BILISIM TEKNOLOJILERI OGRETMENLIGI,492
BILGISAYAR VE EGITIM TEKNOLOJILERI,493
BILGISAYAR VE EGITIM TEKNOLOJILERI BOLUMU,494
BILGISAYAR VE EGITIM TEKNOLOJILERI OGRETMENLIGI,495
BILGISAYAR VE ENFORMASYON SISTEMLERI,496
BILGISAYAR VE OGRENIM TEKNOLOJILERI OGRENIMI,497
BILGISAYAR VE OGRENIM TEKNOLOJILERI OGRETMENLIGI,498
BILGISAYAR VE OGRETIM TEKNOLOJIERI EGITIMI BOLUMU,499
BILGISAYAR VE OGRETIM TEKNOLOJILERI,500
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITIMI,501
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITIMI (BOTE),502
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITIMI BOLUMU,503
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITIMI OGETMENLIGI,504
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITIMI OGRETMENLIGI,505
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITIMI YANDAL OLARAK DA FEN-EDEBIYAT FAKULTESI MATEMATIK BOLUMU,506
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITMENI,507
BILGISAYAR VE OGRETIM TEKNOLOJILERI EGITMENLIGI,508
BILGISAYAR VE OGRETIM TEKNOLOJILERI OGRETMENLIGI,509
