Universite Adi,Label
KADIR HAS UNIVERSITESI,178
KAFKAS UNIVERSITESI,179
KAHRAMANMARAS ISTIKLAL UNIVERSITESI,180
KAHRAMANMARAS SUTCU IMAM,181
KAHRAMANMARAS SUTCU IMAM UNIVERSITESI,182
KAPADOKYA MESLEK YUKSEKOKULU,183
KAPADOKYA UNIVERSITESI,184
KARABUK UNIVERSITESI,185
KARADENIZ TEKNIK UNIVERSITESI,186
KARAMANOGLU MEHMETBEY,187
KARAMANOGLU MEHMETBEY UNIVERSITESI,188
KASTAMONU UNIVERSITESI,189
KAYSERI UNIVERSITESI,190
KILIS 7 ARALIK UNIVERSITESI,191
KIRGIZISTAN-TURKIYE MANAS,192
KIRIKKALE UNIVERSITESI,193
KIRKLARELI UNIVERSITESI,194
KIRSEHIR AHI EVRAN UNIVERSITESI,195
KOC UNIVERSITESI,196
KOCAELI SAGLIK VE TEKNOLOJI UNIVERSITESI,197
KOCAELI UNIVERSITESI,198
KONYA GIDA VE TARIM UNIVERSITESI,199
KONYA TARIM VE GIDA UNIVERSITESI,200
KONYA TEKNIK UNIVERSITESI,201
KTO KARATAY UNIVERSITESI,202
KUTAHYA DUMLUPINAR UNIVERSITESI,203
KUTAHYA SAGLIK BILIMLERI UNIVERSITESI,204
LEFKE AVRUPA UNIVERSITESI,205
LOKMAN HEKIM UNIVERSITESI,206
MALATYA TURGUT OZAL UNIVERSITESI,207
MALTEPE UNIVERSITESI,208
MANISA CELAL BAYAR UNIVERSITESI,209
MANISA CELÂL BAYAR UNIVERSITESI,210
MARDIN ARTUKLU UNIVERSITESI,211
MARMARA UNIVERSITESI,212
MEF UNIVERSITESI,213
MEHMET AKIF ERSOY UNIVERSITESI,214
MELIKSAH UNIVERSITESI,215
MERSIN UNIVERSITESI,216
MEVLANA UNIVERSITESI,217
MILLI SAVUNMA UNIVERSITESI (ASKERÎ),218
MIMAR SINAN GUZEL SANATLAR,219
MIMAR SINAN GUZEL SANATLAR UNIVERSITESI,220
MUGLA SITKI KOCMAN UNIVERSITESI,221
MUNZUR UNIVERSITESI,222
MUS ALPARSLAN UNIVERSITESI,223
MUSTAFA KEMAL UNIVERSITESI,224
NAMIK KEMAL UNIVERSITESI,225
NAN,226
NECMETTIN ERBAKAN UNIVERSITESI,227
NEVSEHIR HACI BEKTAS VELI,228
NEVSEHIR HACI BEKTAS VELI UNIVERSITESI,229
NIGDE OMER HALISDEMIR,230
NIGDE OMER HALISDEMIR UNIVERSITESI,231
NIGDE UNIVERSITESI,232
NISANTASI UNIVERSITESI,233
NUH NACI YAZGAN UNIVERSITESI,234
OKAN UNIVERSITESI,235
ONDOKUZ MAYIS UNIVERSITESI,236
ORDU UNIVERSITESI,237
ORTA DOGU TEKNIK UNIVERSITESI,238
OSMANIYE KORKUT ATA UNIVERSITESI,239
OSTIM TEKNIK UNIVERSITESI,240
OZYEGIN UNIVERSITESI,241
PAMUKKALE UNIVERSITESI,242
PIRI REIS UNIVERSITESI,243
PLATO MESLEK YUKSEKOKULU,244
POLIS AKADEMISI,245
RECEP TAYYIP ERDOGAN UNIVERSITESI,246
SABANCI UNIVERSITESI,247
SAGLIK BILIMLERI UNIVERSITESI,248
SAKARYA UNIVERSITESI,249
SAKARYA UYGULAMALI BILIMLER UNIVERSITESI,250
SAMSUN UNIVERSITESI,251
SANKO UNIVERSITESI,252
SELAHADDIN EYYUBI UNIVERSITESI,253
SELCUK UNIVERSITESI,254
SIFA UNIVERSITESI,255
SIIRT UNIVERSITESI,256
SINOP UNIVERSITESI,257
SIRNAK UNIVERSITESI,258
SIVAS CUMHURIYET UNIVERSITESI,259
SULEYMAN DEMIREL UNIVERSITESI,260
SULEYMAN SAH UNIVERSITESI,261
TARSUS UNIVERSITESI,262
TED UNIVERSITESI,263
TEKIRDAG NAMIK KEMAL UNIVERSITESI,264
TOBB EKONOMI VE TEKNOLOJI,265
TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,266
TOKAT GAZIOSMANPASA UNIVERSITESI,267
TOROS UNIVERSITESI,268
TRABZON UNIVERSITESI,269
TRAKYA UNIVERSITESI,270
TUNCELI UNIVERSITESI,271
TURGUT OZAL UNIVERSITESI,272
TURK HAVA KURUMU UNIVERSITESI,273
TURK-ALMAN UNIVERSITESI,274
UFUK UNIVERSITESI,275
ULUDAG UNIVERSITESI,276
ULUSLARARASI ANTALYA UNIVERSITESI,277
ULUSLARARASI FINAL UNIVERSITESI,278
ULUSLARARASI KIBRIS UNIVERSITESI,279
UNIVERSITY OF SOUTHERN CALIFORNIA,280
USAK UNIVERSITESI,281
USKUDAR UNIVERSITESI,282
VAN YUZUNCU YIL UNIVERSITESI,283
YAKIN DOGU UNIVERSITESI,284
YALOVA UNIVERSITESI,285
YASAR UNIVERSITESI,286
YEDITEPE UNIVERSITESI,287
YENI YUZYIL UNIVERSITESI,288
YILDIRIM BEYAZIT UNIVERSITESI,289
YILDIZ TEKNIK UNIVERSITESI,290
YOZGAT BOZOK UNIVERSITESI,291
YUKSEK IHTISAS UNIVERSITESI,292
YUZUNCU YIL UNIVERSITESI,293
ZIRVE UNIVERSITESI,294
ZONGULDAK BULENT ECEVIT UNIVERSITESI,295
